From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,RF
1/1/2020 0:00:00,1/1/2020 1:00:00,60.75,88.25,2,21.7,13.2,10.18,8.85,1.57,16.48,27.9,82,0.3,25,20,,27.52,0
1/1/2020 1:00:00,1/1/2020 2:00:00,57.25,89.75,2.1,24.48,14.75,10.3,7.25,1.6,12.07,27.95,83.5,0.32,24.75,20,,27.25,0
1/1/2020 2:00:00,1/1/2020 3:00:00,37.25,87.75,2.5,21.78,13.65,11.47,7.55,1.56,61.08,28.2,84.5,0.5,48.75,20,,26.98,0
1/1/2020 3:00:00,1/1/2020 4:00:00,56,75,1.12,12.75,7.68,14.9,6.97,1.34,32.53,28.17,85.75,0.45,65.75,20,,26.68,0
1/1/2020 4:00:00,1/1/2020 5:00:00,43,63,1.62,9.03,6.1,10.97,8.5,1.29,22.02,28.07,86,0.43,78.75,20,,26.42,0
1/1/2020 5:00:00,1/1/2020 6:00:00,41.25,63.5,1.65,8.78,6,11.03,9.52,1.26,20.85,27.9,86.5,0.5,71.25,20,,26.25,0
1/1/2020 6:00:00,1/1/2020 7:00:00,39,63.75,2.1,11.03,7.58,10.62,9.53,1.28,20.95,27.85,87,0.6,46.75,21.25,,26.07,0
1/1/2020 7:00:00,1/1/2020 8:00:00,36,63.25,2.92,12.57,9.1,10.75,9.88,1.31,25.15,27.75,85.5,0.75,60.5,96,,26.55,0
1/1/2020 8:00:00,1/1/2020 9:00:00,10.25,71.25,4.03,13.97,10.7,11.3,9.57,1.23,35.42,27.77,76.5,0.42,108.5,276,,29.15,0
1/1/2020 9:00:00,1/1/2020 10:00:00,41.5,63.5,7.85,23.38,18.83,13.57,9.5,1.15,44.97,27.92,69.75,0.82,250.25,374.25,,30.62,0
1/1/2020 10:00:00,1/1/2020 11:00:00,38.5,55,6.55,20.8,16.4,19.83,10.3,0.88,58.5,28.68,65,1.07,243.5,437.75,,31.35,0
1/1/2020 11:00:00,1/1/2020 12:00:00,18.75,53.5,7.3,14.47,13.57,16.48,13.3,1.21,66.17,29.42,65.75,2.22,249,538.25,,31.62,0
1/1/2020 12:00:00,1/1/2020 13:00:00,6.25,55.75,112.2,28.4,105.4,15.45,12.93,1.3,61.95,29.5,66.5,3.17,263.5,594,,31.27,0
1/1/2020 13:00:00,1/1/2020 14:00:00,18.75,49,6.68,24.48,18.45,13,12.68,1.42,59.5,29.77,67.25,3.23,280.25,591.25,,31.25,0
1/1/2020 14:00:00,1/1/2020 15:00:00,7,49.75,5.7,19.08,14.78,13.35,11.38,1.35,70.15,29.62,67,3.45,303.75,473,,31.02,0
1/1/2020 15:00:00,1/1/2020 16:00:00,27.75,50.75,5.92,18.98,14.92,13.5,11.18,1.38,70.5,29.42,66.5,2.93,270.5,360,,31.08,0
1/1/2020 16:00:00,1/1/2020 17:00:00,26.75,46.5,6.58,23.5,17.85,13.45,11.12,1.35,69.45,29.15,66.75,2.52,254.5,209,,30.9,0
1/1/2020 17:00:00,1/1/2020 18:00:00,25,47,10.22,34.52,26.68,12.77,10.25,1.51,64.88,28.75,70.5,2.05,249,73.5,,30.27,0
1/1/2020 18:00:00,1/1/2020 19:00:00,25.5,53.5,8.18,31.82,23.57,12.77,10.57,1.45,53.75,28.17,73.75,1.62,272,20.5,,29.58,0
1/1/2020 19:00:00,1/1/2020 20:00:00,35.5,58.5,12.5,39.65,31.25,12.68,10.73,1.71,45.38,28.15,74,1.15,273.75,20,,29.4,0
1/1/2020 20:00:00,1/1/2020 21:00:00,34,69,15.45,52.28,40.35,13.07,11.17,1.86,34.55,28.12,75,1.05,292,20,,29.27,0
1/1/2020 21:00:00,1/1/2020 22:00:00,45,73.5,2.17,30.93,18.23,13.42,10.75,1.6,31.2,28.1,77.25,0.53,101.25,20,,28.77,0
1/1/2020 22:00:00,1/1/2020 23:00:00,66,77.5,2.67,25.3,15.65,13.55,10.68,1.5,32.12,28.08,78.75,0.4,312,20,,28.38,0
1/1/2020 23:00:00,2/1/2020 0:00:00,42.25,71.5,1.73,14.4,9.1,13.38,9.25,1.26,35.25,28,80,0.42,35.5,20,,28.02,0
2/1/2020 0:00:00,2/1/2020 1:00:00,28.25,60.25,2.3,15.47,10.1,13.03,9.83,1.23,25.3,27.95,81.25,0.35,35,20,,27.65,0
2/1/2020 1:00:00,2/1/2020 2:00:00,38.75,65.75,1.67,13.6,8.6,12.97,10.35,1.08,29.77,27.9,83,0.3,36.75,20,,27.25,0
2/1/2020 2:00:00,2/1/2020 3:00:00,38.25,62.5,2.05,13,8.6,13.8,10.22,1.23,54.92,27.92,84,0.32,49.25,20,,27.05,0
2/1/2020 3:00:00,2/1/2020 4:00:00,34,62.5,1.75,11.45,7.53,17.6,9.43,1.11,28.28,27.98,84.75,0.32,51,20,702,26.9,0
2/1/2020 4:00:00,2/1/2020 5:00:00,45.75,58.25,2.67,8.75,6.85,12.38,7.8,1.12,17.02,27.92,85.75,0.47,32.75,20,,26.55,0
2/1/2020 5:00:00,2/1/2020 6:00:00,42.25,58.75,1.83,8.47,6,11.32,6.62,1.08,22.28,27.83,86,0.68,44.25,20,,26.23,0
2/1/2020 6:00:00,2/1/2020 7:00:00,38.5,58,2.2,10.2,7.23,10.93,6.5,1.14,21.33,27.85,87,0.45,56.25,22.25,,26.02,0
2/1/2020 7:00:00,2/1/2020 8:00:00,51.75,61.75,3.48,13.57,10.05,11.75,6.65,1.22,22.5,27.85,84.75,0.47,79.5,120.75,700,27,0
2/1/2020 8:00:00,2/1/2020 9:00:00,50.25,72.25,3.98,14.28,10.85,12.45,7.83,1.23,35.95,27.85,76.75,1.12,104,289.25,,28.9,0
2/1/2020 9:00:00,2/1/2020 10:00:00,47,70.5,5.55,18.23,14.2,14.9,8.02,1.08,51.65,28.12,69,0.98,188.5,432.25,,30.98,0
2/1/2020 10:00:00,2/1/2020 11:00:00,34.75,66.75,4.7,15.73,12.17,19.4,8.68,0.88,55.55,28.57,66,1.6,209.5,409,705.5,31.35,0
2/1/2020 11:00:00,2/1/2020 12:00:00,16,50,11.45,13.07,16.23,12.75,8.75,0.63,52.38,28.77,67.75,2.02,237,553.5,712,31.35,0
2/1/2020 12:00:00,2/1/2020 13:00:00,24,46.75,110.92,27.32,103.72,13.62,8.02,0.49,55.85,28.88,66.75,2.95,243,647.5,705.5,31.65,0
2/1/2020 13:00:00,2/1/2020 14:00:00,17.75,39.25,6.33,14.85,13.05,11.85,8.45,0.44,52.03,28.62,66.5,3.25,258,600.5,,31.45,0
2/1/2020 14:00:00,2/1/2020 15:00:00,8.5,37,6.22,17.12,14.15,12.35,9.3,0.35,47.95,28.25,67,3.3,263.75,492.5,,31.23,0
2/1/2020 15:00:00,2/1/2020 16:00:00,10,37,4.68,12.62,10.55,11.57,7.38,0.32,42.55,28.05,68.25,3.1,279.25,372.75,,31.02,0
2/1/2020 16:00:00,2/1/2020 17:00:00,18.5,35.5,7.17,18.8,15.85,12.6,8.98,0.47,44.75,27.8,68.75,2.9,268.25,204.5,,30.77,0
2/1/2020 17:00:00,2/1/2020 18:00:00,30,49,6.65,27.75,20.2,12.3,10.28,0.7,56.12,27.92,69.25,2.4,281.75,68.25,,30.33,0
2/1/2020 18:00:00,2/1/2020 19:00:00,25.5,53,14.95,42.42,34.73,12.6,9.65,1.05,42.05,27.83,69.5,1.32,296.25,20.25,,29.88,0
2/1/2020 19:00:00,2/1/2020 20:00:00,32,61,13.55,50.72,38,13.7,9.53,1.25,36.15,27.8,71.5,0.95,287.5,20,,29.6,0
2/1/2020 20:00:00,2/1/2020 21:00:00,52.5,78.5,2.8,39.93,23.5,15.45,9.77,1,30.95,27.77,74,0.3,260,20,,29.17,0
2/1/2020 21:00:00,2/1/2020 22:00:00,69.75,89,1.95,36.15,20.85,15.35,9.48,1.15,24.68,27.7,76.25,0.38,262.75,20,,28.75,0
2/1/2020 22:00:00,2/1/2020 23:00:00,72,101.5,5.57,47.08,29.58,16,9.93,1.48,19.8,27.73,78.5,0.47,128.25,20,,28.3,0
2/1/2020 23:00:00,3/1/2020 0:00:00,72,110.75,2.47,32.97,19.55,17.23,9.3,1.16,23.98,27.77,79.75,0.5,74,20,,27.98,0
3/1/2020 0:00:00,3/1/2020 1:00:00,71.25,103.25,2,22.95,13.82,16.73,9.43,0.91,22.1,27.73,81.25,0.43,93,20,,27.65,0
3/1/2020 1:00:00,3/1/2020 2:00:00,59.5,88.25,1.73,16.07,9.95,16.1,9.2,0.69,23.55,27.7,82.25,0.38,73.25,20,,27.4,0
3/1/2020 2:00:00,3/1/2020 3:00:00,37.75,77.5,2.08,17.7,11.15,17.77,10.1,0.7,52.15,27.77,83.5,0.3,72,20,,27.2,0
3/1/2020 3:00:00,3/1/2020 4:00:00,55.25,76.25,1.32,14.45,8.77,20.6,8.68,0.68,12.72,28.02,84.5,0.3,72,20,,27.02,0
3/1/2020 4:00:00,3/1/2020 5:00:00,48.5,66,2.2,10.62,7.43,13.7,8.25,0.48,13.55,27.83,85.5,0.35,58.25,20,,26.68,0
3/1/2020 5:00:00,3/1/2020 6:00:00,46.25,62.5,2.28,10.32,7.33,13.05,7.97,0.47,19.77,27.8,86,0.38,28.5,20,,26.42,0
3/1/2020 6:00:00,3/1/2020 7:00:00,36.75,57.5,2.27,11.38,7.88,13.3,8.47,0.44,20.62,27.75,86,0.45,66.75,21.5,,26.35,0
3/1/2020 7:00:00,3/1/2020 8:00:00,40.75,60.5,3.95,17.52,12.55,14,8.28,0.56,23.7,27.75,84.25,0.62,71.5,106.75,,27.05,0
3/1/2020 8:00:00,3/1/2020 9:00:00,42.5,79,4.07,20.7,14.3,15.48,8.3,0.83,31.35,27.75,77.5,0.77,83.25,262.25,,29.1,0
3/1/2020 9:00:00,3/1/2020 10:00:00,61.25,91,4.72,22.62,15.88,16.75,8.45,0.55,48.1,27.75,71,0.88,216.5,344.75,,30.8,0
3/1/2020 10:00:00,3/1/2020 11:00:00,63,82.75,9,33.85,25.3,18.05,8.95,0.62,66.65,28.03,67.25,1.25,298.75,334.25,,31.05,0
3/1/2020 11:00:00,3/1/2020 12:00:00,41,76,10.08,20.62,19.12,16.88,9.5,0.98,33.23,30.3,63.5,2.12,250.75,616.75,,31.97,0
3/1/2020 12:00:00,3/1/2020 13:00:00,20,49,110.83,28.12,104.08,16.85,7.85,0.44,54.72,31.27,63.25,2.83,244.75,667.25,,32.15,0
3/1/2020 13:00:00,3/1/2020 14:00:00,19.5,44.75,10.03,22.93,20.35,13,6.88,0.24,48.33,30.02,62.75,3.35,272.5,600.75,,31.92,0
3/1/2020 14:00:00,3/1/2020 15:00:00,19.5,37.5,10.43,21.05,19.62,12.05,7.28,0.16,49.45,29.68,63.25,3.25,280.75,512.75,,31.88,0
3/1/2020 15:00:00,3/1/2020 16:00:00,11.25,34,21.88,21.18,29.03,11.57,8.03,0.45,42.73,29.3,64.75,3.4,270.75,380.75,,31.55,0
3/1/2020 16:00:00,3/1/2020 17:00:00,9,37.5,47.27,38.83,59.05,10.35,9.9,0.88,30.43,29.2,66.5,2.8,262,210.25,,31.32,0
3/1/2020 17:00:00,3/1/2020 18:00:00,18.25,46.25,10.62,25.9,22.38,11.68,9.3,1.02,46.28,28.9,69.25,2.55,263.25,79.25,,30.67,0
3/1/2020 18:00:00,3/1/2020 19:00:00,24,50,13.2,30.5,27,12.03,9.95,1.19,43.5,28.6,71.5,2,272,21,,30.02,0
3/1/2020 19:00:00,3/1/2020 20:00:00,38.5,70,18.35,48.1,40.47,11.88,9.98,1.42,29.12,27.92,72.75,1.27,291.25,20,,29.9,0
3/1/2020 20:00:00,3/1/2020 21:00:00,34,66,11.55,51.62,36.85,10.72,9.88,1.49,23.73,27.85,74,0.93,306.25,20,,29.62,0
3/1/2020 21:00:00,3/1/2020 22:00:00,33.25,56.5,4.05,36.23,22.58,12.12,10,1.12,26.42,27.83,75.75,0.73,147,20,,29.2,0
3/1/2020 22:00:00,3/1/2020 23:00:00,36,56.25,2.17,17.75,11.22,12.35,9.02,0.86,31.55,27.83,77.5,0.7,108.25,20,,28.73,0
3/1/2020 23:00:00,4/1/2020 0:00:00,24.75,49.25,2,20.68,12.6,12.75,8.1,0.74,34.75,27.88,78.5,0.55,135,20,,28.48,0
4/1/2020 0:00:00,4/1/2020 1:00:00,26.5,41.75,1.7,8.5,5.9,13.45,6.17,0.68,41.92,27.85,79,0.78,220.25,20,,28.27,0
4/1/2020 1:00:00,4/1/2020 2:00:00,23.75,34.75,2.1,4.68,4.15,12.18,5.4,0.64,47.35,27.8,79.25,0.57,145.5,20.25,703,28.1,0
4/1/2020 2:00:00,4/1/2020 3:00:00,21.5,35.5,1.43,4.73,3.65,12.97,6.4,0.66,70.83,27.77,80.25,0.3,13,20.75,704.5,27.9,0
4/1/2020 3:00:00,4/1/2020 4:00:00,25.5,40.25,2.23,4.6,4.25,14.83,5.97,0.64,26.38,27.9,82,0.4,13,20.25,702,27.62,0
4/1/2020 4:00:00,4/1/2020 5:00:00,25.25,40,1.93,6.17,4.88,11.68,6.88,0.67,28.8,27.77,82,0.38,28.75,20,,27.4,0
4/1/2020 5:00:00,4/1/2020 6:00:00,27.75,37,1.88,6.5,4.98,11.53,7.65,0.74,25.4,27.75,84,0.4,100.25,20,702,27,0
4/1/2020 6:00:00,4/1/2020 7:00:00,24,37,1.98,8,5.83,11.72,7.4,0.8,23.65,27.8,85,0.35,21,20,,26.73,0
4/1/2020 7:00:00,4/1/2020 8:00:00,31.75,56,4.38,14.25,11.15,12.62,7.9,0.93,19.65,27.8,83.75,0.4,56.5,110,,27.48,0
4/1/2020 8:00:00,4/1/2020 9:00:00,41.25,67.75,4.48,17.5,12.97,14.23,6.83,0.94,31.5,27.85,76.5,0.8,66.25,272.25,,29.3,0
4/1/2020 9:00:00,4/1/2020 10:00:00,46.25,76.5,2.42,11.57,8.12,14.88,6.78,0.63,57.62,27.82,69.5,1.1,66.5,430,709,30.9,0
4/1/2020 10:00:00,4/1/2020 11:00:00,43.5,69.75,31.75,23.15,38.12,16.07,6.9,0.65,38,28.17,62,1.25,229.5,479.5,724.5,32.45,0
4/1/2020 11:00:00,4/1/2020 12:00:00,32.75,60,10.07,28.4,23.25,14.43,8.9,1.12,88.75,28.98,65.75,2.35,240.25,614.75,725,31.98,0
4/1/2020 12:00:00,4/1/2020 13:00:00,61.75,99.5,111.8,38.25,110.3,15.2,7.6,1.19,78.85,29.48,65.25,3.12,249.75,621.5,712.25,32,0
4/1/2020 13:00:00,4/1/2020 14:00:00,59.25,77.25,5.83,23.35,17.12,13.15,8.73,1.04,69.25,29.43,66,3.27,244,582,718.5,31.77,0
4/1/2020 14:00:00,4/1/2020 15:00:00,27,60,5.65,22.62,16.6,13.52,8.88,1.01,74.2,29.33,65.5,3.4,259,503.75,740.5,31.68,0
4/1/2020 15:00:00,4/1/2020 16:00:00,42,70,8,25.15,19.88,16.55,9.05,1.19,70.8,30.27,67.5,3.05,262.25,331.5,712.25,31.48,0
4/1/2020 16:00:00,4/1/2020 17:00:00,36,66.75,6,25.45,18.43,14.97,9.32,1.06,66.4,29.62,70.25,2.78,245.75,107.25,702,30.68,0
4/1/2020 17:00:00,4/1/2020 18:00:00,22,59.75,9.73,34.02,26,14.55,10.15,1.19,50.83,28.75,71.75,2.12,246,58,,30.4,0
4/1/2020 18:00:00,4/1/2020 19:00:00,27.75,65,3.75,16.35,11.75,14.93,10.38,0.9,45.67,28.25,77.5,2.33,137.5,20.25,,29,1
4/1/2020 19:00:00,4/1/2020 20:00:00,12.25,51.25,11.32,29.2,24.75,13.15,10.1,1.14,42.02,28.33,86.5,1.95,209.75,20.5,,26.77,11.25
4/1/2020 20:00:00,4/1/2020 21:00:00,20.5,39.25,13.92,39.83,32.5,13.05,7.45,1.31,27.18,28.27,86,1.05,239.75,20,,27.25,0
4/1/2020 21:00:00,4/1/2020 22:00:00,16.75,45,2.15,33.1,19.38,13.77,5.67,1.17,23.33,28.25,86,0.93,71.5,20,,27.45,0
4/1/2020 22:00:00,4/1/2020 23:00:00,14.25,42,2.85,23.98,15.07,14.02,5.6,1.06,24.28,28.3,86.5,0.78,214.75,20,,27.45,0
4/1/2020 23:00:00,5/1/2020 0:00:00,5.25,40,2.62,19.78,12.65,14.05,5.97,0.98,25.2,28.27,86,0.5,14.25,21,,27.6,0
5/1/2020 0:00:00,5/1/2020 1:00:00,21,34,1.6,18.7,11.25,12.78,7.78,0.88,21.82,28.3,86,0.6,25,20,,27.65,0
5/1/2020 1:00:00,5/1/2020 2:00:00,19,35.5,1.55,14.55,9,12.4,9.3,0.81,20,28.33,87,0.78,58.5,20,,27.43,0
5/1/2020 2:00:00,5/1/2020 3:00:00,18,29.5,2.2,7.6,5.83,13.78,9.45,0.68,71.62,28.3,87,0.8,48.5,20,,27.1,0
5/1/2020 3:00:00,5/1/2020 4:00:00,14,28,2.27,5.62,4.32,14.78,9.2,0.62,20.35,28.38,86.25,0.83,252,20,,27.1,0
5/1/2020 4:00:00,5/1/2020 5:00:00,,19,1.67,4.72,3.85,11.25,8.32,0.62,21.52,28.27,86,0.95,,20,,27,0
5/1/2020 5:00:00,5/1/2020 6:00:00,,19,2.1,4.8,4.28,10.97,7.92,0.6,38.25,28.25,85.5,0.93,288,20,,26.9,0
5/1/2020 6:00:00,5/1/2020 7:00:00,11,23,1.73,4.32,3.7,11.35,7.85,0.62,36.35,28.2,86,0.98,112,23.25,,26.77,0
5/1/2020 7:00:00,5/1/2020 8:00:00,10.25,24.25,2.08,6.2,4.97,12.57,8.23,0.7,36.52,28.23,84.5,0.88,77.75,89.75,,27.2,0
5/1/2020 8:00:00,5/1/2020 9:00:00,12.75,30.75,2.85,6.6,5.83,13.47,7.92,0.75,40.57,28.3,78.25,1.02,132.5,252.75,,28.68,0
5/1/2020 9:00:00,5/1/2020 10:00:00,21.5,38,2.15,10.93,7.53,15.7,7.7,0.59,44.65,28.33,72,1.02,109.25,409.75,,30.55,0
5/1/2020 10:00:00,5/1/2020 11:00:00,8.75,36.5,3.6,14.53,10.65,18.98,7.85,0.51,67.1,28.52,65.25,1.25,251,550.25,,32,0
5/1/2020 11:00:00,5/1/2020 12:00:00,24.75,42,7.53,15.67,14.78,13.8,9.47,0.73,71.57,28.55,67.25,2.4,260.25,303.5,713.5,31.25,0
5/1/2020 12:00:00,5/1/2020 13:00:00,33.5,42.25,112.05,30.25,106.17,13.4,9.1,0.86,51.42,28.4,69.5,2.5,265,381.25,718.75,30.75,0
5/1/2020 13:00:00,5/1/2020 14:00:00,19.5,33.75,4.62,13.38,10.9,12.68,9.85,0.81,48.92,28.25,68,3.12,259.25,604,713,31.25,0
5/1/2020 14:00:00,5/1/2020 15:00:00,23.75,33,5.35,11.15,10.28,12.72,9.5,0.78,55.85,28.33,66.25,3.12,255.5,504.25,729.25,31.38,0
5/1/2020 15:00:00,5/1/2020 16:00:00,17.75,36.75,4.17,13.4,10.52,13.62,10.02,0.87,58.55,28.4,67.75,3.12,264,378.25,743.5,31.25,0
5/1/2020 16:00:00,5/1/2020 17:00:00,30.75,52,4.15,13.97,10.83,14.05,9.4,0.71,64.32,28.3,70.5,2.67,258,209.5,748,30.8,0
5/1/2020 17:00:00,5/1/2020 18:00:00,36.5,62.25,4.1,22.05,15.07,14.55,8.53,0.81,66.85,28.4,72,2.05,264.5,70,750.5,30.33,0
5/1/2020 18:00:00,5/1/2020 19:00:00,39,62.25,5.4,26.07,18.27,13.9,6.78,0.93,56.05,28.25,75.25,1.55,270.25,20,727.75,29.62,0
5/1/2020 19:00:00,5/1/2020 20:00:00,48.75,76,10.07,39.3,29.1,13.8,8.8,1.22,43.98,28.23,76,0.95,271.75,20,745.25,29.5,0
5/1/2020 20:00:00,5/1/2020 21:00:00,63.5,72,7.95,42.53,29.05,14.38,8.28,1.31,36.78,28.2,76.75,0.43,246.5,20,750.5,29.33,0
5/1/2020 21:00:00,5/1/2020 22:00:00,50.75,81.5,2.88,37.9,22.55,15.05,6.9,1.41,25.7,28.2,79.75,0.3,241,20,752.5,29,0
5/1/2020 22:00:00,5/1/2020 23:00:00,64.75,96.75,1.93,36.05,20.75,16.15,6.42,1.49,23.98,28.23,81,0.48,178.5,20,752,28.7,0
5/1/2020 23:00:00,6/1/2020 0:00:00,70,112.25,2.5,24.4,15.02,16.35,6.8,1.2,27.28,28.23,82.25,0.38,45,20.25,752,28.33,0
6/1/2020 0:00:00,6/1/2020 1:00:00,67.5,110,2.45,15.95,10.45,14.85,8.65,1.1,28.2,28.2,83.75,0.3,15.75,21,751.75,27.98,0
6/1/2020 1:00:00,6/1/2020 2:00:00,79.75,90,2.35,20.62,12.88,14.33,8.73,1.11,22.77,28.23,84,0.3,16,21,752,27.77,0
6/1/2020 2:00:00,6/1/2020 3:00:00,43.5,83,3.33,19.35,13,15.78,9.43,1.1,46.57,28.3,85,0.3,16,21,741.75,27.58,0
6/1/2020 3:00:00,6/1/2020 4:00:00,11.75,77.25,1.93,15.7,9.93,17.58,8.65,0.93,7.35,28.4,85.75,0.35,45,20.75,745.75,27.3,0
6/1/2020 4:00:00,6/1/2020 5:00:00,50,73.25,2.92,16.43,11.12,13.65,8.33,1,12.78,28.3,86.75,0.32,80.25,20,746,27.07,0
6/1/2020 5:00:00,6/1/2020 6:00:00,61,85.25,1.23,11.65,7.2,13.62,8.68,0.99,18.88,28.2,87.5,0.3,78.5,20,737.75,26.85,0
6/1/2020 6:00:00,6/1/2020 7:00:00,54.5,83,5.55,13.8,11.85,14.35,8.38,1.14,20.18,28.23,88,0.3,70.25,21.25,739.75,26.7,0
6/1/2020 7:00:00,6/1/2020 8:00:00,17,83,9.03,24.85,20.55,14,9.25,1.37,16.93,28.27,86.75,0.3,60.5,98,739.75,27.15,0
6/1/2020 8:00:00,6/1/2020 9:00:00,66.25,112.25,4.45,21.7,15.18,14.53,9.7,1.19,32.28,28.27,77.75,0.45,90,272.75,751.25,29.57,0
6/1/2020 9:00:00,6/1/2020 10:00:00,34.5,93.5,8.05,30.57,22.8,14.88,10.93,1.04,46.2,28.33,69.5,1.35,237.75,453.25,750.75,31.23,0
6/1/2020 10:00:00,6/1/2020 11:00:00,32.25,76.25,10.95,29.8,24.75,16.8,11.83,0.73,53.07,28.7,64.5,0.88,288,307.5,750.5,31.67,0
6/1/2020 11:00:00,6/1/2020 12:00:00,21,65,5.3,23.18,16.62,15.12,11.95,0.89,68.58,29.02,66,2.33,266.75,544.25,750.75,31.77,0
6/1/2020 12:00:00,6/1/2020 13:00:00,38,78,111.92,31.93,107.05,12.25,9.62,0.89,56.08,29.15,66.75,2.77,253.5,654,752,31.75,0
6/1/2020 13:00:00,6/1/2020 14:00:00,14,42,7.22,18.12,15.52,11.38,9.68,0.92,59.78,29.2,66.5,2.88,263,616,751.75,31.72,0
6/1/2020 14:00:00,6/1/2020 15:00:00,10.5,43.5,6.88,21.93,17.25,11.6,8.45,0.88,63.95,29.27,66,3.2,265.25,530.5,752,31.67,0
6/1/2020 15:00:00,6/1/2020 16:00:00,3,47.5,7.1,24.1,18.6,12.18,9.1,0.84,55.73,29.25,66.25,3.38,258,391.5,752,31.52,0
6/1/2020 16:00:00,6/1/2020 17:00:00,9,44.75,8.88,23.95,19.95,11.68,8.9,0.89,53.02,28.88,67,2.9,270.5,233.25,751.75,31.27,0
6/1/2020 17:00:00,6/1/2020 18:00:00,7.5,41.5,11.07,29.1,24.5,11.1,10.62,1.08,50.78,28.55,69,2.45,276,81,752,30.77,0
6/1/2020 18:00:00,6/1/2020 19:00:00,33.5,49.5,22.28,45.07,42.12,12.2,11.27,1.44,41.62,28.27,71.75,1.8,274.5,20.5,751.75,29.9,0
6/1/2020 19:00:00,6/1/2020 20:00:00,39.75,70.25,25.92,57.15,51.48,12.43,10.77,1.54,31.4,28.2,72.75,0.85,284,20,751.75,29.73,0
6/1/2020 20:00:00,6/1/2020 21:00:00,36.75,75.5,18.77,62.3,48.38,12.57,10.72,1.6,22.27,28.2,75.25,0.62,275.25,20,750.75,29.43,0
6/1/2020 21:00:00,6/1/2020 22:00:00,58,77.25,13.62,47.9,36.55,12.45,11.05,1.54,19.55,28.15,76.75,0.4,304.25,20,752.5,29.12,0
6/1/2020 22:00:00,6/1/2020 23:00:00,25.5,67.75,4.05,35.4,22.12,12.62,10.07,1.44,20.58,28.2,80,0.32,287.25,20,752.5,28.58,0
6/1/2020 23:00:00,7/1/2020 0:00:00,,64,4.12,59.3,34.9,12.75,10.27,1.58,17.4,28.17,82.5,0.35,38,20,752.75,28.07,0
7/1/2020 0:00:00,7/1/2020 1:00:00,54,82.5,4.22,36.57,22.88,13.45,10.25,1.52,19.3,28.2,84,0.32,38.25,20,752.25,27.7,0
7/1/2020 1:00:00,7/1/2020 2:00:00,60.25,82,2.52,26.55,16.2,13.07,10.15,1.3,21.62,28.2,85,0.48,49.25,20,752,27.3,0
7/1/2020 2:00:00,7/1/2020 3:00:00,56.75,73.75,2.08,16.75,10.6,12.8,10.88,1.01,54.23,28.2,86,0.38,55,20.25,752.75,26.92,0
7/1/2020 3:00:00,7/1/2020 4:00:00,44,67,1.7,14.38,9.05,15.75,9.82,0.84,19.5,28.27,86.25,0.35,51.5,20.25,750,26.75,0
7/1/2020 4:00:00,7/1/2020 5:00:00,24,51,1.93,11.15,7.45,11.12,10.45,0.74,18.18,28.2,87,0.32,74.5,20.25,750.5,26.52,0
7/1/2020 5:00:00,7/1/2020 6:00:00,24,51,1.9,10.17,6.95,11.23,10.35,0.85,19.6,28.15,87,0.3,37.75,20.25,751,26.45,0
7/1/2020 6:00:00,7/1/2020 7:00:00,39,69,5.25,14.22,11.85,11.32,10.15,1.05,19.5,28.17,87,0.3,32.25,21.25,751.75,26.33,0
7/1/2020 7:00:00,7/1/2020 8:00:00,41.25,74.25,12.5,21,21.32,11.8,10.8,1.28,21.32,28.1,84.75,0.3,31.75,127,750,27.25,0
7/1/2020 8:00:00,7/1/2020 9:00:00,44.75,85.25,10.78,30.08,24.78,12,9.32,1.13,29.23,28.2,72,0.3,200.75,291.25,751,30.48,0
7/1/2020 9:00:00,7/1/2020 10:00:00,36.75,69.75,6.45,25.6,18.85,13.7,7.88,0.79,46.22,28.2,66.75,1.25,193.5,451,750.5,31.25,0
7/1/2020 10:00:00,7/1/2020 11:00:00,36.5,58.5,2.42,13.62,9.2,15.78,9.03,0.36,59.5,28.15,61,1.27,159,597.75,749.5,32.05,0
7/1/2020 11:00:00,7/1/2020 12:00:00,26.25,39.5,5.9,11.2,10.72,11.43,9.5,0.44,61.5,28.4,57.25,1.45,163.5,616.25,746.75,32.98,0
7/1/2020 12:00:00,7/1/2020 13:00:00,39.5,51.25,127.55,37.67,122.78,10.68,8,0.99,47.2,28.93,64,2.92,262.5,612.75,744.25,31.95,0
7/1/2020 13:00:00,7/1/2020 14:00:00,17.25,52,11.65,24.58,22.52,10.35,7.33,0.89,47.12,29.08,64,3.2,249.5,646.5,742,31.88,0
7/1/2020 14:00:00,7/1/2020 15:00:00,2.75,41.25,7.25,21.23,17.18,10.35,6.52,0.86,59.75,29.1,62.75,3,264,536.5,744,31.95,0
7/1/2020 15:00:00,7/1/2020 16:00:00,10.5,34.75,27.93,31.15,39.25,10,7.28,0.94,41.97,29.33,62.75,3,268.5,400.25,749,31.82,0
7/1/2020 16:00:00,7/1/2020 17:00:00,11,33.25,9.75,28.67,23.17,10.75,9.02,0.91,54.58,29.08,63.75,2.65,266.5,239.5,748,31.73,0
7/1/2020 17:00:00,7/1/2020 18:00:00,12.75,37,14.93,34.6,30.55,9.7,10.88,1.13,52.55,28.57,65.5,2.03,267,84.75,749.75,31.12,0
